Country Name,Country Code,Time,Time Code,Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Germany,DEU,2007,YR2007,92.2330093383789,92.2330093383789,81.159423828125,94.6601943969727,95.2153091430664,93.2692337036133
Germany,DEU,2008,YR2008,93.2038803100586,89.3203887939453,79.8076934814453,92.2330093383789,94.2307662963867,93.75
Germany,DEU,2009,YR2009,93.3014373779297,92.8229675292969,77.7251205444336,93.7799072265625,92.890998840332,92.890998840332
Germany,DEU,2010,YR2010,93.3333358764648,90.4306182861328,73.459716796875,93.7799072265625,92.890998840332,92.4170608520508
Germany,DEU,2011,YR2011,93.3649291992188,90.9952621459961,71.5639801025391,92.890998840332,92.0187759399414,93.4272308349609
Germany,DEU,2012,YR2012,94.3127975463867,91.9431304931641,71.0900497436523,91.9431304931641,92.0187759399414,93.4272308349609
Germany,DEU,2013,YR2013,94.3127975463867,90.5213241577148,76.3033142089844,92.4170608520508,92.0187759399414,93.4272308349609
Germany,DEU,2014,YR2014,93.75,93.75,78.0952377319336,94.2307662963867,93.75,96.0591125488281
Germany,DEU,2015,YR2015,93.3333358764648,92.8571395874023,68.0952377319336,94.2857131958008,93.3333358764648,95.5665054321289
Germany,DEU,2016,YR2016,93.8095245361328,93.3333358764648,68.5714263916016,96.6666641235352,91.9047622680664,95.0738906860352
Germany,DEU,2017,YR2017,94.7619018554688,93.3333358764648,65.2380981445313,95.2380981445313,91.4285736083984,95.5665054321289
Germany,DEU,2018,YR2018,95.7142868041992,91.4285736083984,64.6226425170898,95.2380981445313,91.4285736083984,95.1456298828125
Germany,DEU,2019,YR2019,95.2380981445313,91.9047622680664,65.0943374633789,96.1904754638672,92.3809509277344,95.1690826416016
Germany,DEU,2020,YR2020,95.2380981445313,88.0952377319336,67.9245300292969,93.3333358764648,90.9523773193359,94.2028961181641
Germany,DEU,2021,YR2021,95.7142868041992,87.1428604125977,69.8113174438477,94.7619018554688,91.4285736083984,95.6521759033203
Germany,DEU,2022,YR2022,95.7547149658203,88.2075500488281,67.4528274536133,92.4528274536133,91.9811325073242,94.6859893798828
France,FRA,1996,YR1996,84.9462356567383,85.792350769043,76.5957412719727,81.5217361450195,91.9598007202148,89
France,FRA,1998,YR1998,89.8395690917969,88.5245895385742,69.6808547973633,74.4565200805664,91,86.0696487426758
France,FRA,2000,YR2000,88.8297882080078,90.163932800293,74.0740737915039,78.260871887207,91.0447769165039,86.0696487426758
France,FRA,2002,YR2002,84.1269836425781,88.6486511230469,79.3650817871094,79.4594573974609,85.572135925293,85.572135925293
France,FRA,2003,YR2003,85.7142868041992,91.3513488769531,50.2512550354004,85.9459457397461,89.5522384643555,85.0746231079102
France,FRA,2004,YR2004,88.6699523925781,92.5373153686523,56.3106803894043,85.572135925293,91.8269195556641,91.8269195556641
France,FRA,2005,YR2005,89.7560958862305,92.1568603515625,57.7669906616211,85.2941207885742,90.4306182861328,92.788459777832
France,FRA,2006,YR2006,91.7073135375977,92.1951217651367,64.2512054443359,86.2745132446289,90.4306182861328,91.8269195556641
France,FRA,2007,YR2007,91.7475738525391,89.3203887939453,64.7342987060547,86.8932037353516,90.4306182861328,91.3461532592773
France,FRA,2008,YR2008,91.2621383666992,91.7475738525391,64.9038467407227,87.3786392211914,90.8653869628906,91.3461532592773
France,FRA,2009,YR2009,90.4306182861328,88.9952163696289,63.5071105957031,85.6459350585938,90.0473937988281,90.5213241577148
France,FRA,2010,YR2010,90.9523773193359,88.9952163696289,68.7203826904297,86.6028671264648,90.5213241577148,90.0473937988281
France,FRA,2011,YR2011,90.9952621459961,87.6777267456055,65.4028472900391,84.8341217041016,89.6713638305664,88.7323913574219
France,FRA,2012,YR2012,90.5213241577148,87.6777267456055,63.5071105957031,83.4123229980469,89.6713638305664,89.6713638305664
